,precision,recall,f1-score,support
alureon,0.3146796431467964,0.4485549132947977,0.36987607244995235,865.0
banjori,1.0,1.0,1.0,865.0
bedep,0.673582295988935,0.5630057803468208,0.6133501259445844,865.0
ccleaner,0.9976905311778291,0.9988439306358381,0.9982668977469671,865.0
chinad,0.9913473423980222,0.9271676300578034,0.9581839904420549,865.0
corebot,1.0,0.9942196531791907,0.9971014492753623,865.0
cryptolocker,0.36109008327024983,0.5514450867052023,0.4364135407136322,865.0
dircrypt,0.3355018587360595,0.41734104046242776,0.37197320968572906,865.0
dyre,0.9988452655889145,1.0,0.999422299248989,865.0
fobber_v1,0.8198458574181118,0.9838150289017341,0.8943772990015766,865.0
fobber_v2,0.3204172876304024,0.49710982658959535,0.3896692342546443,865.0
gozi_gpl,0.972877358490566,0.953757225433526,0.9632224168126093,865.0
gozi_luther,0.8611691022964509,0.953757225433526,0.9051014810751509,865.0
gozi_nasa,0.7723840345199569,0.8277456647398844,0.7991071428571429,865.0
gozi_rfc4343,0.8054245283018868,0.7895953757225433,0.7974314068884998,865.0
kraken_v1,0.7545565006075334,0.7179190751445087,0.735781990521327,865.0
kraken_v2,0.5772787318361955,0.5052023121387283,0.5388409371146733,865.0
locky,0.5672268907563025,0.4682080924855491,0.512982900569981,865.0
matsnu,0.9551886792452831,0.9364161849710982,0.9457092819614712,865.0
murofet_v1,0.9907727797001153,0.9930635838150289,0.9919168591224018,865.0
murofet_v2,0.8476286579212916,0.9710982658959537,0.9051724137931035,865.0
murofet_v3,0.9976905311778291,0.9988439306358381,0.9982668977469671,865.0
necurs,0.7263513513513513,0.49710982658959535,0.5902539464653397,865.0
nymaim,0.9382716049382716,0.8786127167630058,0.9074626865671642,865.0
padcrypt,0.9885057471264368,0.9942196531791907,0.9913544668587896,865.0
pizd,0.8741176470588236,0.8589595375722543,0.8664723032069971,865.0
proslikefan,0.5742024965325936,0.47861271676300576,0.5220680958385877,865.0
pushdo,0.9085903083700441,0.953757225433526,0.9306260575296109,865.0
pykspa,0.31307550644567217,0.19653179190751446,0.24147727272727273,865.0
pykspa_noise,0.3139190523198421,0.3676300578034682,0.33865814696485624,865.0
qadars,0.9702842377260982,0.8682080924855491,0.9164124466137888,865.0
qakbot,0.8285024154589372,0.3965317919075145,0.5363565285379203,865.0
ramdo,0.9675615212527964,1.0,0.9835133598635588,865.0
ramnit,0.28291316526610644,0.23352601156069364,0.2558581380620646,865.0
ranbyus_v1,0.6861081654294804,0.7479768786127168,0.71570796460177,865.0
ranbyus_v2,0.7733499377334994,0.7179190751445087,0.7446043165467627,865.0
rovnix,0.9224537037037037,0.9213872832369943,0.9219201850780798,865.0
shiotob,0.8325942350332595,0.8682080924855491,0.8500282965478213,865.0
simda,0.9126984126984127,0.930635838150289,0.9215798511734402,865.0
sisron,0.9965437788018433,1.0,0.998268897864974,865.0
suppobox_1,0.861353711790393,0.9121387283236995,0.8860190903986525,865.0
suppobox_2,0.9552572706935123,0.9872832369942196,0.9710062535531552,865.0
suppobox_3,0.9988439306358381,0.9988439306358381,0.9988439306358381,865.0
symmi,0.9919724770642202,1.0,0.9959700633275763,865.0
tempedreve,0.5548216644649934,0.48554913294797686,0.5178791615289766,865.0
tinba,0.5875370919881305,0.4578034682080925,0.5146198830409356,865.0
vawtrak_v1,0.9931113662456946,1.0,0.9965437788018434,865.0
vawtrak_v2,0.9444444444444444,0.9433526011560693,0.9438982070561017,865.0
vawtrak_v3,0.891213389121339,0.9849710982658959,0.9357495881383855,865.0
zeus-newgoz,1.0,0.9988439306358381,0.9994216310005783,865.0
legit,0.8313878080415046,0.7410404624277457,0.7836185819070904,865.0
accuracy,0.7826816275643206,0.7826816275643206,0.7826816275643206,0.7826816275643206
macro avg,0.7908859686656075,0.7826816275643205,0.7823208034836228,44115.0
weighted avg,0.7908859686656073,0.7826816275643206,0.7823208034836228,44115.0
