,precision,recall,f1-score,support
alureon,0.31577259017238923,0.4943352601156069,0.38258629885855533,865.0
banjori,1.0,1.0,1.0,865.0
bedep,0.5565245082534951,0.6638150289017342,0.5991873003381805,865.0
ccleaner,0.9993071593533488,0.9997687861271676,0.9995378393991912,865.0
chinad,0.9624056022603156,0.9526011560693641,0.957160282779563,865.0
corebot,1.0,0.9939884393063583,0.9969849689206096,865.0
cryptolocker,0.45563207205797857,0.5273988439306359,0.4848003095357196,865.0
dircrypt,0.3323861269576016,0.2689017341040462,0.28847385579697404,865.0
dyre,0.9993071593533488,1.0,0.9996533795493934,865.0
fobber_v1,0.818778653097203,0.9815028901734102,0.8927090837732224,865.0
fobber_v2,0.33218140392786033,0.4235838150289018,0.3651838994054614,865.0
gozi_gpl,0.9595355815033058,0.9636994219653181,0.9614557951962388,865.0
gozi_luther,0.9031058737234021,0.8966473988439306,0.8982349748569509,865.0
gozi_nasa,0.8069506050604071,0.7780346820809249,0.7908525790478261,865.0
gozi_rfc4343,0.7383527938408097,0.8254335260115606,0.7783657677333654,865.0
kraken_v1,0.732136524115951,0.7717919075144509,0.74600461767818,865.0
kraken_v2,0.5722115489419768,0.4413872832369942,0.49498709769493593,865.0
locky,0.5696153456975497,0.47630057803468207,0.5179956769788658,865.0
matsnu,0.9476330104151479,0.9470520231213874,0.9469839273674866,865.0
murofet_v1,0.9889719671304478,0.9923699421965317,0.9906461954507046,865.0
murofet_v2,0.8484158629761485,0.970635838150289,0.9052654590562653,865.0
murofet_v3,0.9995381062355658,0.9963005780346821,0.9979145152392519,865.0
necurs,0.7616713852579542,0.4668208092485548,0.5666513641867696,865.0
nymaim,0.9375596852282883,0.8853179190751443,0.9106831687407411,865.0
padcrypt,0.9898854183342237,0.993757225433526,0.9918092521382842,865.0
pizd,0.8489030382238185,0.8885549132947977,0.8677682566880603,865.0
proslikefan,0.5801544735895517,0.5213872832369942,0.5473453892872844,865.0
pushdo,0.9162148445586965,0.9590751445086706,0.9371117247148506,865.0
pykspa,0.31520546208571615,0.25294797687861276,0.2750562987666868,865.0
pykspa_noise,0.30750067596090813,0.2661271676300578,0.2790303167724551,865.0
qadars,0.9321785303205925,0.9061271676300577,0.9178198244199869,865.0
qakbot,0.747450986823263,0.43421965317919076,0.5437545443616204,865.0
ramdo,0.9770230113242887,0.9988439306358382,0.9877906321870891,865.0
ramnit,0.3008146923662304,0.22219653179190751,0.24181627054192512,865.0
ranbyus_v1,0.7334017918916956,0.7563005780346821,0.7441413939692881,865.0
ranbyus_v2,0.7717631232690831,0.7149132947976878,0.7411536179719258,865.0
rovnix,0.9398403815107544,0.9116763005780347,0.9251142920620239,865.0
shiotob,0.8842862032129283,0.7914450867052023,0.8321624148346641,865.0
simda,0.8874626848344385,0.950057803468208,0.9175354047340807,865.0
sisron,0.9986159151137173,1.0,0.9993071591223883,865.0
suppobox_1,0.8946798804657702,0.8897109826589595,0.8914799707045125,865.0
suppobox_2,0.9552377056056484,0.9697109826589596,0.9622525628479555,865.0
suppobox_3,0.9850332065365439,0.9983815028901735,0.991639838749171,865.0
symmi,0.9940277229097475,1.0,0.9970040750129504,865.0
tempedreve,0.503429255127916,0.6201156069364162,0.5491779878277666,865.0
tinba,0.5656944482354594,0.5576878612716764,0.5430806173510542,865.0
vawtrak_v1,0.9915205670297604,1.0,0.9957415005099435,865.0
vawtrak_v2,0.9529255155303187,0.9648554913294799,0.9588308945017519,865.0
vawtrak_v3,0.8894051105760618,0.9780346820809248,0.9313722391761059,865.0
zeus-newgoz,1.0,0.9983815028901735,0.9991897476413903,865.0
legit,0.8132945311233485,0.741271676300578,0.774624994944983,865.0
accuracy,0.7843817295704409,0.7843817295704409,0.7843817295704409,0.7843817295704409
macro avg,0.7885086812180584,0.7843817295704408,0.7806946976357776,44115.0
weighted avg,0.7885086812180584,0.7843817295704409,0.7806946976357775,44115.0
