,precision,recall,f1-score,support
alureon,0.2399873856827499,0.7741607324516785,0.3663938372652864,983.0
banjori,1.0,1.0,1.0,983.0
bedep,0.34951456310679613,0.8056968463886063,0.4875346260387811,983.0
ccleaner,0.9889001009081736,0.9969481180061037,0.9929078014184397,983.0
chinad,0.8190376569037657,0.7965412004069176,0.8076328004125838,983.0
corebot,0.998960498960499,0.9776195320447609,0.9881748071979435,983.0
cryptolocker,0.2600896860986547,0.059003051881993895,0.09618573797678275,983.0
dircrypt,0.2463768115942029,0.017293997965412006,0.03231939163498099,983.0
dyre,0.9989837398373984,1.0,0.9994916115912558,983.0
fobber_v1,0.5476329631794272,0.953204476093591,0.6956198960653304,983.0
fobber_v2,0.18312101910828024,0.11698880976602238,0.14276846679081318,983.0
gozi_gpl,0.7605284888521883,0.9369277721261444,0.8395624430264358,983.0
gozi_luther,0.6347687400318979,0.8097660223804679,0.7116674117121145,983.0
gozi_nasa,0.4080188679245283,0.17599186164801628,0.2459132906894101,983.0
gozi_rfc4343,0.5223880597014925,0.32044760935910477,0.39722572509457754,983.0
kraken_v1,0.7717842323651453,0.5676500508646999,0.6541617819460728,983.0
kraken_v2,0.33134684147794996,0.28280773143438453,0.305159165751921,983.0
locky,0.16666666666666666,0.015259409969481181,0.02795899347623486,983.0
matsnu,0.7634754625905068,0.965412004069176,0.8526504941599281,983.0
murofet_v1,0.7544401544401544,0.9938962360122076,0.8577699736611062,983.0
murofet_v2,0.6433848220282069,0.9745676500508647,0.7750809061488673,983.0
murofet_v3,1.0,0.9949135300101729,0.9974502804691483,983.0
necurs,0.15350877192982457,0.03560528992878942,0.05780346820809249,983.0
nymaim,0.9012693935119888,0.6500508646998983,0.7553191489361702,983.0
padcrypt,0.8949343339587242,0.970498474059003,0.931185944363104,983.0
pizd,0.43097643097643096,0.7812817904374364,0.5555153707052441,983.0
proslikefan,0.3389261744966443,0.3082400813835198,0.322855620671284,983.0
pushdo,0.6692456479690522,0.7039674465920651,0.6861675756073375,983.0
pykspa,0.20334620334620335,0.1607324516785351,0.1795454545454545,983.0
pykspa_noise,0.19402985074626866,0.06612410986775177,0.09863429438543247,983.0
qadars,0.5205826472450918,0.8362156663275687,0.6416861826697892,983.0
qakbot,0.5472972972972973,0.08240081383519837,0.14323607427055704,983.0
ramdo,0.7684458398744113,0.9959308240081384,0.8675232609658838,983.0
ramnit,0.17897727272727273,0.12817904374364192,0.14937759336099585,983.0
ranbyus_v1,0.20769789397240376,0.29094608341810785,0.24237288135593224,983.0
ranbyus_v2,0.3336875664187035,0.6388606307222787,0.4383944153577662,983.0
rovnix,0.5395095367847411,0.8056968463886063,0.6462668298653611,983.0
shiotob,0.6335078534031413,0.12309257375381485,0.2061328790459966,983.0
simda,0.4512040557667934,0.7243133265513734,0.556032799687622,983.0
sisron,0.97002997002997,0.987792472024415,0.9788306451612904,983.0
suppobox_1,0.45454545454545453,0.14242115971515767,0.21688613477924087,983.0
suppobox_2,0.7081749049429658,0.757884028484232,0.7321867321867322,983.0
suppobox_3,0.8759057971014492,0.9837232960325534,0.9266890273119309,983.0
symmi,0.9533980582524272,0.9989827060020345,0.9756582215598608,983.0
tempedreve,0.2473404255319149,0.09460834181078331,0.1368653421633554,983.0
tinba,0.0,0.0,0.0,983.0
vawtrak_v1,0.8713398402839396,0.9989827060020345,0.9308056872037915,983.0
vawtrak_v2,0.6315007429420505,0.4323499491353001,0.5132850241545894,983.0
vawtrak_v3,0.4278897136797455,0.8209562563580874,0.5625653537818055,983.0
zeus-newgoz,0.9779559118236473,0.9928789420142421,0.9853609288238264,983.0
legit,0.7146067415730337,0.323499491353001,0.4453781512605042,983.0
accuracy,0.5955159276324976,0.5955159276324976,0.5955159276324976,0.5955159276324976
macro avg,0.572338060639025,0.5955159276324976,0.5520821663709208,50133.0
weighted avg,0.5723380606390249,0.5955159276324976,0.5520821663709209,50133.0
