,precision,recall,f1-score,support
alureon,0.22247023809523808,0.3041709053916582,0.2569832402234637,983.0
banjori,1.0,1.0,1.0,983.0
bedep,0.3288557213930348,0.6724313326551373,0.4416972936852656,983.0
ccleaner,0.9889224572004028,0.9989827060020345,0.9939271255060729,983.0
chinad,0.8384710234278668,0.6917599186164801,0.7580824972129321,983.0
corebot,0.9937694704049844,0.9735503560528993,0.9835560123329908,983.0
cryptolocker,0.36619718309859156,0.052899287894201424,0.09244444444444444,983.0
dircrypt,0.13856812933025403,0.061037639877924724,0.08474576271186442,983.0
dyre,1.0,1.0,1.0,983.0
fobber_v1,0.5221861471861472,0.9816887080366226,0.6817379018014836,983.0
fobber_v2,0.2097053726169844,0.6154628687690743,0.31282316442605995,983.0
gozi_gpl,0.8862034239677744,0.8952187182095626,0.8906882591093116,983.0
gozi_luther,0.8009888751545118,0.659206510681587,0.7232142857142857,983.0
gozi_nasa,0.7290969899665551,0.44354018311291965,0.551549652118912,983.0
gozi_rfc4343,0.5060150375939849,0.6846388606307223,0.5819282317336792,983.0
kraken_v1,0.5851910828025477,0.7477110885045778,0.6565430995980348,983.0
kraken_v2,0.38596491228070173,0.044760935910478125,0.08021877848678213,983.0
locky,0.16846652267818574,0.15869786368260427,0.16343635411210056,983.0
matsnu,0.7721311475409836,0.9582909460834181,0.8551974580118021,983.0
murofet_v1,0.7889447236180904,0.9582909460834181,0.8654111162149747,983.0
murofet_v2,0.5669565217391305,0.9949135300101729,0.722304283604136,983.0
murofet_v3,1.0,0.9542217700915565,0.9765747006767309,983.0
necurs,0.1819526627218935,0.25025432349949134,0.2107066381156317,983.0
nymaim,0.8358531317494601,0.7873855544252288,0.8108957569408068,983.0
padcrypt,0.9017175572519084,0.9613428280773143,0.9305760709010339,983.0
pizd,0.545543584720862,0.5666327568667345,0.5558882235528942,983.0
proslikefan,0.3166189111747851,0.4496439471007121,0.37158469945355194,983.0
pushdo,0.7452380952380953,0.6368260427263479,0.6867800329127811,983.0
pykspa,0.3238095238095238,0.03458799593082401,0.06250000000000001,983.0
pykspa_noise,0.2261904761904762,0.019328585961342827,0.03561387066541706,983.0
qadars,0.5661157024793388,0.8362156663275687,0.6751540041067763,983.0
qakbot,0.5,0.003051881993896236,0.006066734074823053,983.0
ramdo,0.7758206565252201,0.9857578840284842,0.8682795698924731,983.0
ramnit,0.2184873949579832,0.052899287894201424,0.08517608517608517,983.0
ranbyus_v1,0.35705045278137126,0.2807731434384537,0.31435079726651477,983.0
ranbyus_v2,0.5286624203821656,0.0844354018311292,0.1456140350877193,983.0
rovnix,0.9135483870967742,0.7202441505595117,0.8054607508532423,983.0
shiotob,0.6688102893890675,0.2115971515768057,0.32148377125193195,983.0
simda,0.4642541924095322,0.5350966429298067,0.497164461247637,983.0
sisron,0.9671314741035857,0.987792472024415,0.9773527931555108,983.0
suppobox_1,0.66005291005291,0.5076297049847406,0.5738930419781483,983.0
suppobox_2,0.5927367055771725,0.9298067141403866,0.723960396039604,983.0
suppobox_3,0.8987816307403936,0.9755849440488301,0.9356097560975609,983.0
symmi,0.9780439121756487,0.9969481180061037,0.9874055415617127,983.0
tempedreve,0.2170978627671541,0.392675483214649,0.27960883737776165,983.0
tinba,0.0,0.0,0.0,983.0
vawtrak_v1,0.9456838021338506,0.9918616480162767,0.968222442899702,983.0
vawtrak_v2,0.3232150491663104,0.7690742624618515,0.45514750150511735,983.0
vawtrak_v3,0.4564498346196251,0.4211597151576806,0.43809523809523804,983.0
zeus-newgoz,0.9958289885297185,0.9715157680569685,0.9835221421215243,983.0
legit,0.44881889763779526,0.17395727365208546,0.2507331378299121,983.0
accuracy,0.5957951848084097,0.5957951848084097,0.5957951848084097,0.5957951848084097
macro avg,0.5951494016956588,0.5957951848084097,0.561370784154636,50133.0
weighted avg,0.5951494016956587,0.5957951848084097,0.561370784154636,50133.0
