,precision,recall,f1-score,support
alureon,0.23322602607331083,0.6130213631739573,0.3317713494040496,983.0
banjori,1.0,1.0,1.0,983.0
bedep,0.34463288186496305,0.5289928789420142,0.3808938425514151,983.0
ccleaner,0.9871274695931529,0.9977619532044761,0.9924139554707141,983.0
chinad,0.8439543528377993,0.651678535096643,0.7277780731415641,983.0
corebot,0.9962581199514815,0.9668362156663276,0.9811929976536551,983.0
cryptolocker,0.2932708418529172,0.04191251271617498,0.07216861689022427,983.0
dircrypt,0.2150728765057947,0.1548321464903357,0.14410297307174835,983.0
dyre,0.9977761258199284,0.9997965412004068,0.9987827521344977,983.0
fobber_v1,0.5410862459919363,0.9648016276703967,0.6904181960643591,983.0
fobber_v2,0.19450457787980754,0.2614445574771109,0.19638177908077545,983.0
gozi_gpl,0.8336469273604102,0.9068158697863682,0.8660288400370805,983.0
gozi_luther,0.6875977275463899,0.7715157680569684,0.7213467274014604,983.0
gozi_nasa,0.6096103733680707,0.3523906408952187,0.42959568091479594,983.0
gozi_rfc4343,0.4945001493159976,0.5416073245167854,0.5064611998349818,983.0
kraken_v1,0.6897480435180484,0.676500508646999,0.6768380170387764,983.0
kraken_v2,0.36705407201142976,0.1387589013224822,0.18539011735653405,983.0
locky,0.17242952177477414,0.15523906408952187,0.14856012417605996,983.0
matsnu,0.7692783631566529,0.9491353001017295,0.8491480550838846,983.0
murofet_v1,0.798394160760209,0.9668362156663276,0.8729410430605176,983.0
murofet_v2,0.5792520944272312,0.984944048830112,0.726661369117692,983.0
murofet_v3,1.0,0.9827060020345879,0.9912226506585993,983.0
necurs,0.19587761231276518,0.0693794506612411,0.07341786737828548,983.0
nymaim,0.8346682101174079,0.7194303153611392,0.7699754643448642,983.0
padcrypt,0.894496983959599,0.957884028484232,0.9240919184394019,983.0
pizd,0.4607941507387377,0.5751780264496439,0.5055394269297164,983.0
proslikefan,0.3495253445059959,0.33489318413021363,0.32962963314533983,983.0
pushdo,0.6659869637336839,0.6531027466937944,0.6580643521035985,983.0
pykspa,0.18834028534453034,0.11861648016276705,0.129084203930244,983.0
pykspa_noise,0.23445900284643786,0.2185147507629705,0.16808105183115826,983.0
qadars,0.535506012699895,0.8136317395727366,0.6379433465060532,983.0
qakbot,0.44313292884721456,0.03316378433367243,0.05807236919091593,983.0
ramdo,0.7967763586933465,0.9786368260427263,0.8778759374072184,983.0
ramnit,0.18366854945399658,0.09196337741607324,0.11827151825918003,983.0
ranbyus_v1,0.33569059502898063,0.20834181078331637,0.24157956766122565,983.0
ranbyus_v2,0.4114886104772437,0.44516785350966426,0.3797644379611035,983.0
rovnix,0.7620205608927684,0.7304170905391658,0.7371680219464732,983.0
shiotob,0.5562685727610501,0.23560528992878943,0.29537190621518306,983.0
simda,0.48066679607127566,0.6604272634791455,0.5484261208883481,983.0
sisron,0.95243734445204,0.9831129196337741,0.9673195801028388,983.0
suppobox_1,0.5091626605481487,0.4264496439471007,0.4481953931071435,983.0
suppobox_2,0.6965210057174342,0.8040691759918616,0.7410750573992003,983.0
suppobox_3,0.9085200978026811,0.9733468972533063,0.9389401981632799,983.0
symmi,0.9639984510508179,0.9967446592065107,0.9800450296926229,983.0
tempedreve,0.2501387874712522,0.15788402848423194,0.16764105508992472,983.0
tinba,0.09819265201720731,0.03519837232960325,0.04761049809230727,983.0
vawtrak_v1,0.9104772991943371,0.9953204476093591,0.950776465837405,983.0
vawtrak_v2,0.4172497306144659,0.7302136317395727,0.5027380205424917,983.0
vawtrak_v3,0.46740610281531775,0.5053916581892166,0.46498601322401917,983.0
zeus-newgoz,0.9910744323877638,0.9788402848423194,0.9848418419141055,983.0
legit,0.7277250388748179,0.3001017293997965,0.42466348553544864,983.0
accuracy,0.5948736361278998,0.5948736361278998,0.5948736361278998,0.5948736361278998
macro avg,0.5856998449615984,0.5948736361278998,0.5600252577055388,50133.0
weighted avg,0.5856998449615984,0.5948736361278998,0.5600252577055389,50133.0
