,precision,recall,f1-score,support
alureon,0.2770707390012431,0.5445134575569358,0.3650914971215411,966.0
banjori,1.0,1.0,1.0,966.0
bedep,0.4689642900940797,0.6325051759834368,0.5355788395954022,966.0
ccleaner,0.9940256785244396,0.998343685300207,0.9961785866069099,966.0
chinad,0.8627310300395143,0.908488612836439,0.8846198931670521,966.0
corebot,0.9972708167989378,0.9815734989648034,0.9893537413407131,966.0
cryptolocker,0.3299974835605063,0.17163561076604555,0.21670908332677943,966.0
dircrypt,0.23870805277830637,0.16004140786749485,0.18267445997798712,966.0
dyre,0.9989660870566732,0.999792960662526,0.9993792032001526,966.0
fobber_v1,0.7122942109137729,0.9581780538302278,0.8165234356793929,966.0
fobber_v2,0.2580077862674433,0.3440993788819876,0.2892501009763109,966.0
gozi_gpl,0.9037725923060289,0.9505175983436853,0.9261471047569131,966.0
gozi_luther,0.8084370457160215,0.8049689440993788,0.7989135773452836,966.0
gozi_nasa,0.6514676153476906,0.6668737060041409,0.6511937073184837,966.0
gozi_rfc4343,0.5980544339105848,0.6434782608695653,0.6139564317988423,966.0
kraken_v1,0.6758215141849987,0.7612836438923395,0.7099171312284807,966.0
kraken_v2,0.3625808295360158,0.21718426501035198,0.26683789587716694,966.0
locky,0.280795462392253,0.13064182194616974,0.16889645607746676,966.0
matsnu,0.923527497139713,0.9283643892339544,0.925641349631829,966.0
murofet_v1,0.9281542635011265,0.9805383022774328,0.953155010971415,966.0
murofet_v2,0.7317284480548378,0.9832298136645964,0.8388052156103502,966.0
murofet_v3,0.9997920997920998,0.9879917184265011,0.9938451484733946,966.0
necurs,0.24330471526885375,0.1289855072463768,0.16182484042973516,966.0
nymaim,0.8931772922147877,0.8356107660455485,0.8624108849633343,966.0
padcrypt,0.9536700344214918,0.9761904761904763,0.9644882830811297,966.0
pizd,0.6570849068178368,0.6028985507246377,0.6254622628303406,966.0
proslikefan,0.39893065710261555,0.48219461697722565,0.42872004379111434,966.0
pushdo,0.7656771217009443,0.8703933747412009,0.8094603322682608,966.0
pykspa,0.24671635811592316,0.20869565217391303,0.19125825713794437,966.0
pykspa_noise,0.28724720581235685,0.20041407867494826,0.2232025553056504,966.0
qadars,0.8753109178300438,0.7339544513457557,0.7940611726295705,966.0
qakbot,0.5768949083004052,0.2536231884057971,0.3304820112545815,966.0
ramdo,0.9102662764064297,0.9908902691511386,0.94874643844878,966.0
ramnit,0.21001481849098375,0.19399585921325052,0.18747797310637954,966.0
ranbyus_v1,0.40558486100339525,0.4320910973084886,0.4172230682698723,966.0
ranbyus_v2,0.41538606639207354,0.6409937888198758,0.4933867426979381,966.0
rovnix,0.9352690416423961,0.7695652173913043,0.8427743242594128,966.0
shiotob,0.7076951074374425,0.6078674948240165,0.6509918532494015,966.0
simda,0.7076997659569925,0.7335403726708074,0.7190658734170825,966.0
sisron,0.9974995637085605,0.9886128364389235,0.9929947853790371,966.0
suppobox_1,0.6677564100273264,0.7028985507246377,0.6832721169408413,966.0
suppobox_2,0.7933693006313984,0.9146997929606625,0.8495813700020569,966.0
suppobox_3,0.9547218390039968,0.9902691511387163,0.9720090236919479,966.0
symmi,0.9891328712343845,0.996687370600414,0.9928844215381041,966.0
tempedreve,0.32121882783657096,0.3165631469979296,0.30238508691471,966.0
tinba,0.29888496578286144,0.12132505175983435,0.15416030037254735,966.0
vawtrak_v1,0.9801330836908446,0.996894409937888,0.9884160370582225,966.0
vawtrak_v2,0.6891194617720978,0.7248447204968944,0.6969624939662088,966.0
vawtrak_v3,0.631989395936853,0.7813664596273291,0.6875639111395134,966.0
zeus-newgoz,0.9975098067449462,0.9855072463768115,0.9914591786444362,966.0
legit,0.7081748655199935,0.5939958592132506,0.6444401454920162,966.0
accuracy,0.6770551698940445,0.6770551698940445,0.6770551698940445,0.6770551698940445
macro avg,0.6710119298768842,0.6770551698940446,0.6613692874188636,49266.0
weighted avg,0.6710119298768842,0.6770551698940445,0.6613692874188635,49266.0
