,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,89,0,4,0,0,0,0,198,0,0,392,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,126,0,0,0,0,6,0,0,0,0,0,9,0,0,10,16,0,6
banjori,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,685,0,0,0,4,100,0,0,4,0,2,0,1,1,6,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,106,3,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0
ccleaner,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,5,0,790,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,5,0,0,9,1,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,923,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
cryptolocker,0,0,46,0,0,0,246,25,0,3,0,2,0,0,0,6,20,74,0,0,59,0,20,1,1,2,2,6,32,18,0,25,0,44,208,0,0,0,0,1,0,0,0,0,41,49,0,1,0,0,0
dircrypt,27,0,277,0,0,0,6,237,0,0,139,0,5,1,0,3,23,0,0,0,0,0,0,0,1,0,0,11,0,0,0,10,0,153,2,2,0,0,4,0,0,0,0,0,1,11,0,2,10,0,7
dyre,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,15,0,0,668,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,58,0,0,21,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v2,108,0,3,0,0,0,0,217,0,0,388,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,110,0,0,0,0,7,0,0,0,0,0,7,0,0,12,12,0,7
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gozi_luther,0,0,0,0,0,0,0,2,0,0,0,0,810,50,34,0,0,0,7,0,0,0,0,1,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
gozi_nasa,0,0,0,0,0,0,1,0,0,0,0,0,84,647,165,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,17
