,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,372,0,0,0,0,0,0,1,0,0,493,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,22,8,0,3
banjori,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,10,0,532,0,0,0,1,139,0,0,12,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,192,1,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
ccleaner,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,5,0,766,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,7,7,1,0,0,7,0,130,0,0,0,0,0,0,0,1,0,0,0,0,0
corebot,0,0,0,0,0,923,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
cryptolocker,5,0,20,0,0,0,244,21,0,14,4,3,1,0,0,5,6,95,0,0,50,0,6,1,1,1,0,4,64,18,0,25,2,58,209,6,0,0,0,0,1,0,0,0,35,32,0,0,1,0,0
dircrypt,114,0,108,0,0,0,0,233,0,0,157,0,1,0,2,0,11,0,0,0,0,0,0,0,0,0,0,10,1,1,0,3,0,244,2,3,0,0,3,2,0,0,0,0,0,20,0,12,1,0,4
dyre,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,1,0,0,853,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27,0,0,1,43,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
fobber_v2,366,0,0,0,0,0,0,2,0,0,504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,15,11,0,5
gozi_gpl,0,0,0,0,0,0,1,0,0,0,0,900,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
