,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,2016,0,5,0,0,0,0,222,0,0,1706,0,0,0,1,0,98,0,1,0,0,0,0,0,0,0,0,49,27,4,0,0,0,203,0,0,0,0,13,0,0,0,0,0,121,54,0,61,65,0,14
banjori,0,4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,14,0,2891,0,0,0,12,821,0,0,18,0,3,3,3,8,22,0,1,0,0,0,1,0,3,0,0,29,0,0,0,21,1,577,9,10,0,35,0,0,0,0,0,0,5,173,0,0,0,0,0
ccleaner,0,0,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,21,3,4120,0,7,2,0,9,0,0,0,0,0,1,1,7,0,0,8,0,12,0,0,0,0,0,0,0,26,40,3,0,10,14,0,375,0,0,0,0,0,0,0,1,0,0,0,0,0
corebot,0,0,0,0,0,4622,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
cryptolocker,6,0,158,0,0,0,1409,151,0,115,4,13,3,0,0,14,44,456,0,1,391,0,122,2,6,7,2,25,125,59,0,157,15,202,610,100,0,4,2,1,1,0,0,0,122,330,0,2,1,0,0
dircrypt,511,0,874,0,1,0,15,1217,0,0,538,0,22,10,6,6,57,0,0,0,0,0,3,0,5,0,3,49,10,1,0,132,0,825,11,21,0,1,18,2,0,0,0,0,33,212,0,25,33,0,19
dyre,0,0,0,0,0,0,0,0,4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,18,0,0,4097,0,0,0,0,0,1,2,1,0,0,0,0,7,0,10,1,0,1,2,2,0,129,0,0,22,361,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
fobber_v2,2035,0,6,0,0,0,0,238,0,0,1697,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,72,18,4,0,0,0,185,0,0,0,0,17,0,0,0,0,0,119,54,0,53,61,0,18
gozi_gpl,0,0,0,0,0,0,9,0,0,0,0,4449,0,0,0,0,0,14,0,3,0,0,0,59,0,0,0,1,0,0,0,0,0,0,3,2,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gozi_luther,0,0,1,0,0,0,0,7,0,0,0,0,3676,433,416,0,0,0,24,0,0,0,0,4,2,0,0,38,0,1,0,2,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19,0,14
gozi_nasa,0,0,0,0,0,0,2,0,0,0,0,0,187,3765,570,0,0,0,28,0,0,0,0,6,0,0,0,26,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,3,0,6,4,0,54
gozi_rfc4343,1,0,3,0,0,0,0,7,0,0,0,0,235,948,3301,1,2,1,30,0,0,0,1,9,7,0,0,11,0,0,0,2,0,15,0,0,26,0,0,0,0,0,0,0,0,5,0,5,5,0,45
kraken_v1,0,0,1,0,0,0,13,0,0,0,0,0,1,1,2,3266,1329,6,0,0,0,0,0,0,0,0,11,1,9,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,7,0,5
kraken_v2,358,0,32,0,0,0,19,90,0,0,403,0,0,0,0,1067,1875,52,0,0,0,0,145,6,0,0,186,18,33,3,0,3,10,90,21,0,0,0,27,0,0,0,0,0,36,112,0,15,33,0,26
locky,0,0,0,0,0,0,305,0,0,0,0,3,0,0,0,9,25,1446,0,4,162,0,412,16,2,0,569,25,106,65,0,118,12,0,618,312,0,0,39,0,0,0,0,0,161,248,0,0,0,0,3
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,9,98,56,0,0,0,4374,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,111
murofet_v1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,6,0,4595,0,0,33,0,0,0,0,0,0,0,0,2,0,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,50,0,0,4402,0,0,2,0,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,14,0,10,0,1,0,73,24,0,54,9,1,0,0,1,0,48,372,0,47,37,0,1255,7,0,4,721,27,31,23,0,106,3,20,729,685,0,0,35,0,0,0,1,0,61,247,2,0,0,0,12
