,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,647,0,1,0,0,0,0,14,0,0,156,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,47,0,0,0,0,1,0,0,0,0,0,0,17,0,10,10,0,4
banjori,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,2,0,577,0,0,0,7,168,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,10,0,108,0,4,0,20,0,0,0,0,0,0,0,19,0,0,0,0,0
ccleaner,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,4,1,901,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,5,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
cryptolocker,1,0,60,0,0,0,376,19,0,18,0,2,1,0,0,1,5,67,0,1,80,0,0,0,2,1,0,2,7,5,0,74,5,34,45,90,0,2,0,0,0,0,0,0,7,26,0,1,0,0,0
dircrypt,133,0,176,0,1,0,5,238,0,0,70,0,2,3,1,3,8,0,0,0,0,0,0,0,4,0,1,11,1,0,0,44,0,171,0,10,0,1,7,0,0,0,0,0,0,31,0,5,5,0,1
dyre,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,43,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v2,659,0,3,0,0,0,0,6,0,0,150,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24,1,3,0,0,0,45,0,0,0,0,3,0,0,0,0,0,0,16,0,9,6,0,2
gozi_gpl,0,0,0,0,0,0,2,0,0,0,0,861,0,0,0,0,0,5,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,1,0,0,0,0,0,0,0,0,0,689,102,110,0,0,0,3,0,0,0,0,3,1,0,0,7,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1
gozi_nasa,0,0,0,0,0,0,1,0,0,0,0,0,19,833,56,0,0,0,7,0,0,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2
gozi_rfc4343,0,0,2,0,0,0,0,2,0,0,0,0,29,314,547,1,0,1,7,0,0,0,0,4,6,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,2,0,0,2
kraken_v1,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,720,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
