,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,388,0,0,0,0,0,0,5,0,0,432,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,4,2,0,2
banjori,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,487,0,0,0,22,208,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,113,2,2,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0
ccleaner,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,2,1,802,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cryptolocker,0,0,5,0,0,0,477,23,0,15,0,2,1,0,0,1,0,86,0,0,70,0,1,1,0,0,0,1,0,16,0,5,6,54,57,5,0,0,0,0,1,0,0,0,0,37,0,0,1,0,0
dircrypt,91,0,96,0,0,0,22,361,0,0,100,0,6,4,1,0,3,0,0,0,0,0,0,0,1,0,1,9,1,3,0,2,0,124,1,3,0,0,0,0,0,0,0,0,3,23,0,2,5,0,3
dyre,0,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fobber_v2,393,0,0,0,0,0,0,5,0,0,430,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,2,4,0,2
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,0,0,0,0,0,825,13,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1
gozi_nasa,0,0,0,0,0,0,1,0,0,0,0,0,39,716,97,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
gozi_rfc4343,0,0,0,0,0,0,0,0,0,0,0,0,49,115,683,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,3
kraken_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
