,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,2138,0,0,0,0,0,0,10,0,0,1846,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0,34,4,6,0,0,0,93,0,0,0,0,4,0,0,0,0,0,82,3,0,15,32,0,11
banjori,0,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,1,0,2871,0,0,0,82,687,0,0,0,0,7,4,3,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,5,8,0,418,12,11,0,36,0,0,0,0,0,0,0,154,0,0,0,0,0
ccleaner,0,0,0,4324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,18,1,4120,0,2,1,0,12,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,1,18,1,0,0,3,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,4299,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
cryptolocker,0,0,143,0,0,0,2281,97,0,95,0,14,4,0,0,5,6,313,0,0,345,0,15,5,4,5,0,12,52,41,0,72,13,173,263,25,0,0,1,0,1,0,0,0,21,318,0,0,1,0,0
dircrypt,529,0,947,0,0,0,56,1163,0,0,402,0,23,4,5,0,43,0,0,0,0,0,0,0,5,0,28,25,10,22,0,146,0,583,20,21,0,0,3,0,0,0,0,0,27,212,0,9,26,0,16
dyre,0,0,0,0,0,0,0,0,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,2,0,0,4245,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,2,0,0,0,0,0,7,0,0,0,57,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
fobber_v2,2162,0,0,0,0,0,0,10,0,0,1832,0,0,0,1,1,33,0,0,0,0,0,0,0,0,0,0,34,4,7,0,0,0,90,0,0,0,0,0,0,0,0,0,0,87,2,0,18,28,0,16
gozi_gpl,0,0,0,0,0,0,4,0,0,0,0,4168,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,2,0,0,0,0,3878,135,244,0,0,0,4,0,0,0,0,3,1,0,0,27,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,0,8
gozi_nasa,0,0,0,0,0,0,1,3,0,0,0,0,148,3365,684,0,0,0,21,0,0,0,0,8,0,0,0,9,0,0,0,0,0,6,0,0,32,0,0,0,0,0,0,0,0,2,0,1,1,0,44
gozi_rfc4343,0,0,5,0,0,0,0,6,0,0,0,0,165,454,3570,0,0,0,35,0,0,0,0,4,1,0,0,7,0,1,0,2,0,7,0,0,22,0,0,0,0,0,0,0,0,1,0,0,4,0,41
kraken_v1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3338,975,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
kraken_v2,322,0,5,0,0,0,14,79,0,0,261,0,0,0,0,1224,1909,0,0,0,0,0,61,5,0,0,93,10,20,25,0,0,4,104,7,0,0,0,7,0,0,0,0,0,20,107,0,8,8,0,32
locky,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,5,16,2060,0,1,157,0,167,13,1,0,298,19,72,111,0,106,8,0,216,273,0,0,19,0,0,0,1,0,130,179,0,0,0,0,1
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,9,67,74,0,0,0,4096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,71
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,4292,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,6,0,0,4198,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,11,0,8,0,0,0,90,23,0,55,5,3,1,0,0,0,57,341,0,31,42,0,2019,0,0,4,354,11,18,26,0,93,3,15,427,470,2,0,13,0,0,0,0,0,28,166,0,0,0,0,9
nymaim,1,0,0,0,0,0,0,0,0,0,0,22,3,17,48,0,0,9,89,0,0,0,12,3829,0,59,12,3,1,1,0,0,0,0,7,1,49,0,13,0,27,6,11,0,0,1,20,1,5,0,78
padcrypt,0,0,2,0,0,0,4,3,0,3,0,0,4,0,1,0,0,0,0,0,0,0,3,0,4298,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3843,0,0,0,0,0,0,0,0,0,0,2,0,0,0,407,46,22,0,2,1,0,0,0,0,0
proslikefan,135,0,0,0,0,0,7,11,0,0,85,0,0,0,0,3,43,226,0,0,0,0,174,3,0,0,2255,0,387,378,0,38,0,17,12,0,0,0,147,0,0,9,0,0,267,39,0,14,7,0,68
pushdo,15,0,2,0,0,0,0,8,0,0,13,0,17,8,3,0,0,0,1,0,0,0,2,1,0,0,0,4148,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,3,0,18,64,0,8
pykspa,65,0,0,0,0,0,209,35,0,0,60,0,3,0,0,6,41,15,0,0,0,0,1,1,0,3,269,28,1094,1132,0,97,18,63,5,0,0,2,140,0,0,8,0,0,828,107,0,5,26,0,64
pykspa_noise,73,0,0,0,0,0,139,36,0,0,77,0,0,2,0,8,30,19,0,0,0,0,1,5,0,0,242,25,1176,1151,0,71,20,79,6,0,0,0,89,1,2,15,0,0,810,121,0,11,44,0,72
qadars,0,0,15,0,0,0,11,4,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,6,16,23,3919,1,1,2,1,0,0,260,0,0,0,0,0,0,13,27,16,0,2,0,0
qakbot,66,0,120,0,0,0,436,200,0,237,51,0,0,0,0,4,15,128,0,0,180,0,11,0,5,0,135,4,133,191,0,1878,23,64,48,9,1,0,4,0,0,0,0,0,273,105,0,0,3,0,1
ramdo,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,617,0,665,0,0,0,113,724,0,0,490,0,12,4,10,0,67,0,0,0,0,0,0,0,4,0,37,39,14,25,0,23,0,961,42,32,0,0,10,4,0,0,0,0,23,348,0,24,11,0,26
ranbyus_v1,0,0,148,0,0,0,525,85,0,10,0,0,0,0,0,4,2,58,0,0,0,0,30,15,2,3,0,1,0,1,0,2,10,116,3271,16,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
ranbyus_v2,0,0,166,0,0,0,0,166,0,512,0,0,6,3,2,0,0,26,0,0,0,0,144,5,7,0,0,0,0,0,0,2,0,184,6,3092,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
rovnix,0,0,0,0,2,0,0,0,0,0,0,133,8,76,140,0,0,0,2,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,3943,0,0,0,0,0,9,0,0,0,0,0,0,0,0
shiotob,40,0,124,2,161,0,25,20,0,6,39,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,5,30,36,280,2,0,19,16,0,0,3423,0,0,0,0,1,1,61,23,0,1,1,0,3
simda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,8,0,0,47,0,51,25,0,0,0,1,0,0,0,0,4109,0,0,0,0,0,2,3,0,0,4,0,51
