,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,526,0,0,0,0,0,0,5,0,0,249,0,0,0,0,6,33,0,0,0,0,0,0,0,1,0,0,53,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,14,25,0,19,23,0,6
banjori,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,26,0,552,0,1,0,0,183,0,0,22,0,1,0,1,3,5,0,0,0,0,0,0,0,2,0,0,20,0,0,6,0,0,36,0,34,0,22,0,1,0,0,0,0,0,51,0,0,0,0,0
ccleaner,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,6,1,874,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,23,5,1,0,0,7,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0
corebot,0,0,0,0,0,942,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
cryptolocker,8,0,18,0,0,0,132,41,0,46,11,2,1,0,0,13,4,24,0,0,119,0,34,0,2,2,15,14,28,31,0,96,6,25,99,41,0,3,1,0,0,0,0,0,38,112,0,0,0,0,0
dircrypt,171,0,187,0,0,0,0,279,0,0,105,0,3,0,0,7,13,0,0,0,0,0,0,0,1,0,0,32,0,0,1,1,0,35,0,43,0,1,2,0,0,0,0,0,4,63,0,10,4,0,4
dyre,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,8,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
fobber_v2,509,0,0,0,0,0,0,1,0,0,282,0,0,0,0,8,34,0,0,0,0,0,0,0,1,0,0,50,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,23,0,22,16,0,5
gozi_gpl,0,0,0,0,0,0,1,0,0,0,0,916,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,1,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,2,0,1,0,0,1
