,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,497,0,0,0,0,0,0,0,0,0,371,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,14,30,0,1
banjori,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,8,0,601,0,0,0,1,151,0,0,5,0,4,0,4,11,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,157,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0
ccleaner,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,3,1,850,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,6,4,1,2,1,8,0,73,0,0,0,0,0,0,0,1,0,0,0,0,0
corebot,0,0,0,0,0,953,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0
cryptolocker,1,0,42,0,0,0,163,23,0,71,0,3,2,0,0,14,6,27,0,0,104,0,27,0,2,2,2,12,5,4,0,44,18,67,146,81,0,1,3,0,0,0,0,0,81,15,0,0,0,0,0
dircrypt,130,0,209,0,0,0,4,235,0,0,116,0,4,1,1,6,5,0,0,0,0,0,1,0,1,0,0,20,0,0,0,0,0,207,0,1,0,1,0,0,0,0,0,0,0,5,0,1,17,0,1
dyre,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,13,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,2,0,1,0,18,0,0,2,49,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
fobber_v2,493,0,0,0,0,0,0,1,0,0,370,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,11,39,0,3
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,0,0,0,0,0,791,49,88,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0
gozi_nasa,1,0,0,0,0,0,0,2,0,0,0,0,71,582,270,0,0,0,13,0,0,0,0,2,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,0,2
