,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,382,0,0,0,0,0,0,13,0,0,491,0,0,0,0,2,13,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,5,7,0,17,13,0,4
banjori,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,1,0,616,0,0,0,0,105,0,0,6,0,1,2,3,2,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,1,0,184,0,2,0,8,0,0,0,0,0,0,2,17,0,0,1,0,0
ccleaner,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
chinad,0,0,9,1,901,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,4,1,0,0,18,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0
corebot,0,0,0,0,2,946,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
cryptolocker,2,0,36,0,0,0,145,31,0,73,3,4,0,0,0,11,11,27,0,1,137,0,59,1,3,1,0,5,3,13,0,7,10,55,155,95,0,3,3,0,1,1,0,0,17,51,0,0,2,0,0
dircrypt,93,0,329,0,0,0,0,135,0,0,158,0,3,3,1,1,5,0,0,0,0,0,0,0,3,0,1,8,0,0,0,2,0,184,0,5,0,2,1,0,0,0,0,0,2,14,0,7,3,0,6
dyre,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fobber_v2,365,0,0,0,0,0,0,13,0,0,507,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,7,0,0,0,2,1,0,0,0,0,0,5,2,0,17,15,0,6
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gozi_luther,0,0,0,0,0,0,0,3,0,0,0,0,601,151,191,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5
