,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,2630,0,1,0,0,0,0,31,0,0,1600,0,0,0,0,11,89,0,0,0,0,0,0,0,4,0,0,101,4,2,0,0,0,92,0,0,0,0,8,0,0,0,0,0,19,32,0,103,87,0,16
banjori,0,4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,47,0,3055,0,1,0,2,540,0,0,36,0,14,3,11,16,14,0,0,0,0,0,0,0,18,0,0,53,0,0,6,10,1,695,3,173,0,47,0,1,0,0,0,0,2,78,0,3,1,0,0
ccleaner,0,0,0,4822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
chinad,0,0,26,5,4388,3,11,0,0,21,0,0,0,0,0,0,0,1,0,0,22,0,6,0,1,0,0,1,0,0,56,25,4,2,2,53,0,200,0,0,0,0,0,0,1,2,0,0,0,0,0
corebot,0,0,0,0,2,4741,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,10,0
cryptolocker,16,0,178,0,0,0,829,126,0,327,15,16,4,0,0,56,28,172,0,1,604,0,153,4,16,5,17,44,66,56,0,261,56,269,627,491,0,11,10,0,4,1,0,0,161,202,0,1,3,0,0
dircrypt,714,0,1287,0,0,0,5,773,0,0,539,0,27,4,3,16,36,0,0,0,0,0,1,0,11,0,1,84,0,0,1,70,1,807,1,251,0,4,5,0,0,0,0,0,6,85,0,41,37,0,20
dyre,0,0,0,0,0,0,0,0,4829,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,13,0,0,4628,0,0,0,0,0,0,0,0,0,0,0,0,21,0,10,0,0,3,0,1,0,23,1,0,10,109,0,1,0,0,1,0,7,1,1,0,0,0,0,0,0
fobber_v2,2583,0,0,0,0,0,0,34,0,0,1662,0,0,0,0,9,75,0,0,0,0,0,0,0,4,0,1,112,1,0,0,0,0,83,0,0,0,4,5,0,0,0,0,0,17,25,0,101,91,0,23
gozi_gpl,0,0,0,0,0,0,1,0,0,0,0,4591,0,0,0,0,0,3,0,2,0,0,0,87,0,0,0,2,0,0,0,0,1,0,9,0,129,0,0,0,0,0,0,0,0,2,0,1,0,0,2
gozi_luther,0,0,1,0,0,0,0,6,0,0,0,0,3888,339,455,1,0,0,21,0,0,0,0,3,2,0,0,50,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,23,25,0,9
gozi_nasa,1,0,3,0,0,0,0,12,0,0,1,0,303,3221,1104,0,0,0,57,0,0,0,0,10,0,0,0,22,0,0,0,1,0,5,1,0,7,0,0,0,0,0,0,0,0,3,0,14,16,0,49
gozi_rfc4343,1,0,12,0,0,0,0,5,0,0,0,0,485,978,3108,3,1,0,77,0,0,0,0,6,13,0,0,15,0,0,0,1,0,11,1,6,10,1,0,0,0,0,0,1,0,5,0,16,10,0,64
kraken_v1,0,0,5,0,0,0,10,14,0,0,0,0,1,4,3,3677,940,2,0,0,0,0,0,4,3,0,22,2,3,12,0,21,11,12,21,5,0,2,1,0,0,0,0,0,20,11,0,3,16,0,5
kraken_v2,494,0,30,0,0,0,17,63,0,0,403,1,1,0,0,1423,1049,118,0,0,0,0,100,3,6,0,512,32,14,13,0,26,26,121,64,4,0,3,19,0,0,0,0,0,47,136,0,24,50,0,31
locky,0,0,0,0,0,0,276,0,0,1,0,5,0,0,0,28,46,631,0,6,306,0,381,18,10,0,704,97,93,34,0,135,28,0,658,861,1,0,74,0,0,0,0,0,227,206,1,0,0,0,3
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,17,132,97,0,0,0,4484,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,0,83
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4736,0,0,46,0,1,0,0,0,0,0,0,13,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,48,0,0,0,0,2,0,0,0,0,0,2,0,0,4749,0,4,5,0,0,0,6,0,0,0,8,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,4772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
necurs,23,0,17,0,0,0,93,16,0,67,15,6,0,0,1,9,31,303,0,94,65,0,623,12,5,2,911,69,28,51,0,125,6,24,569,1337,0,0,42,0,0,1,1,0,66,201,4,2,0,0,11
nymaim,0,0,0,0,0,0,0,0,0,0,0,75,8,38,30,0,2,4,99,0,0,0,4,4036,1,75,23,28,4,6,0,0,0,0,4,1,95,0,26,0,76,21,31,0,2,4,23,6,18,0,90
padcrypt,0,0,10,0,0,0,1,6,0,7,0,0,8,0,7,2,0,5,0,0,0,0,23,0,4715,2,0,7,1,0,0,5,6,4,3,6,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,419,51,0,1,0,0,0,0,0,4
proslikefan,199,0,0,0,0,0,14,0,0,0,173,0,0,0,0,14,65,236,0,0,105,0,71,8,2,1,2329,7,360,338,1,5,1,4,36,0,0,2,279,0,0,54,0,0,356,44,0,30,35,0,61
pushdo,108,0,4,0,0,0,0,44,0,0,38,0,35,17,11,0,7,7,3,0,0,0,10,18,2,0,1,4204,0,0,0,0,0,58,4,1,0,1,1,0,0,0,0,0,3,8,0,73,149,0,23
pykspa,205,0,2,0,0,0,181,17,0,9,131,0,2,1,0,36,66,47,0,0,0,0,16,2,4,0,361,55,1008,882,0,65,93,34,44,2,0,13,388,0,2,92,0,0,895,29,0,48,60,0,40
pykspa_noise,200,0,3,0,0,0,147,19,0,8,144,0,2,0,0,23,70,47,0,0,0,0,11,1,2,4,328,63,1005,968,1,45,88,48,35,4,0,10,305,3,1,106,0,0,911,39,0,52,81,0,56
qadars,2,0,22,14,96,0,21,9,0,1,4,0,0,3,0,15,9,2,0,0,0,0,5,1,0,3,4,10,16,32,3545,7,22,15,6,0,0,853,0,0,0,4,2,0,23,15,66,0,1,0,2
qakbot,98,0,205,0,1,0,248,168,0,439,56,2,0,1,0,27,54,87,0,210,429,0,73,2,19,0,142,24,196,119,0,1225,57,101,84,321,2,5,25,0,0,5,0,0,331,63,0,5,3,0,3
ramdo,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,9,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,12,4786,0,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ramnit,873,0,971,0,0,0,3,598,0,0,647,0,21,11,6,21,63,0,0,0,0,0,2,0,12,0,0,104,2,3,0,26,0,937,4,216,0,8,2,1,0,0,0,0,11,128,0,67,65,0,28
ranbyus_v1,0,0,155,0,0,0,255,87,0,291,0,6,1,1,0,44,14,75,0,0,0,0,478,21,16,0,10,64,1,3,0,108,46,178,2087,694,0,2,1,0,0,0,0,1,24,166,0,1,0,0,0
ranbyus_v2,0,0,260,0,0,0,49,116,0,557,0,9,8,0,4,3,0,10,0,1,1,0,274,6,30,1,0,18,0,2,0,16,18,108,207,3096,1,4,0,2,0,0,8,1,0,20,0,0,0,0,0
rovnix,0,0,0,0,1,0,0,0,0,2,0,345,15,211,412,0,0,0,2,0,0,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,3717,0,0,0,12,0,77,0,0,0,0,0,0,1,0
shiotob,84,0,216,6,588,0,21,40,0,64,63,0,0,1,0,1,1,2,0,0,0,0,0,0,3,3,15,14,58,87,447,7,0,54,8,16,0,2936,0,1,2,8,0,2,47,19,0,5,5,0,6
simda,315,0,0,0,0,0,1,0,0,0,213,2,0,0,0,1,12,74,0,0,0,0,25,41,0,0,90,93,65,17,0,0,0,0,10,0,0,0,3543,0,0,1,0,0,17,6,3,32,66,0,203
sisron,3,0,5,0,0,0,2,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6,7,4,0,7,0,0,0,3,0,4775,0,0,0,0,5,5,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,187,29,0,0,0,0,0,0,0,1
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,205,2,0,4,8,0,0,0,0,0,0,0,0,0,0,140,4418,12,0,7,0,0,0,0,0,33
suppobox_3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,4783,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4814,0,0,0,0,0,0,0
tempedreve,651,0,0,0,0,0,20,3,0,0,445,0,0,0,0,23,74,104,0,0,0,0,6,5,1,2,251,29,831,544,0,12,0,21,5,0,0,6,137,2,1,33,1,0,1529,43,1,20,18,0,12
tinba,187,0,121,0,0,0,272,335,0,23,173,4,2,0,3,26,63,417,0,0,214,0,274,10,26,4,60,50,100,122,0,60,4,728,650,67,0,15,4,1,2,1,0,6,198,586,0,10,8,0,4
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4815,0,0,0,0
vawtrak_v2,17,0,0,0,0,0,0,2,0,0,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,3501,1099,0,133
vawtrak_v3,2,0,0,0,0,0,0,0,0,0,1,0,3,5,1,0,0,0,2,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,817,3774,0,178
zeus-newgoz,0,0,5,0,17,10,0,1,5,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4760,0
legit,36,0,2,4,0,0,0,2,0,3,18,9,31,78,35,8,2,1,112,0,0,0,0,178,0,22,215,38,24,37,30,0,2,11,0,0,6,28,142,0,11,219,3,0,4,2,0,169,479,0,2869
