,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
proslikefan,259,0,2,0,0,0,4,1,0,2,106,4,0,0,0,23,46,72,0,0,381,0,22,12,4,3,1646,49,267,547,10,0,13,2,88,4,2,1,704,7,3,101,1,0,259,42,50,108,33,0,37
pushdo,241,0,52,0,0,0,10,16,0,0,201,2,46,3,5,4,8,65,29,0,14,0,4,65,20,0,36,3210,8,4,0,0,2,96,22,2,0,0,38,2,0,0,0,0,9,4,5,316,343,0,33
pykspa,255,0,7,0,0,0,22,15,0,243,135,0,2,0,0,32,32,58,0,0,7,0,8,2,9,11,270,29,583,1017,17,15,164,15,52,14,0,25,838,10,0,213,2,9,594,9,6,132,46,0,17
pykspa_noise,276,0,6,0,0,0,15,23,0,224,147,1,2,0,0,14,41,54,0,0,1,0,10,6,1,13,241,20,591,1074,9,15,166,18,48,13,0,18,803,19,5,255,3,6,558,3,3,158,47,0,8
qadars,28,0,22,33,156,0,3,15,0,35,18,0,3,0,0,15,4,9,0,0,0,0,1,1,1,12,1,4,9,28,3999,1,65,1,6,3,0,276,1,6,3,4,2,0,26,2,115,5,2,0,0
qakbot,134,0,280,0,4,2,29,110,0,745,61,6,5,0,2,68,45,111,0,850,641,0,109,5,33,1,87,23,156,246,15,163,172,58,91,284,2,10,91,17,0,13,1,4,202,13,5,12,6,2,1
ramdo,0,0,0,0,0,0,2,0,0,8,0,13,7,0,1,12,3,10,0,0,6,0,6,0,7,0,0,8,0,1,1,1,4810,0,3,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ramnit,1235,0,1350,0,0,0,5,591,0,10,629,0,37,2,10,29,12,0,0,3,2,0,20,0,37,0,0,61,0,0,0,1,3,452,0,30,0,8,3,9,0,0,0,0,1,38,0,234,90,0,13
ranbyus_v1,29,0,245,0,0,0,118,86,0,391,17,22,3,0,0,51,15,974,0,0,133,0,331,28,28,4,13,122,9,35,22,7,90,111,1024,772,0,6,5,11,2,3,0,2,43,148,8,1,5,0,1
ranbyus_v2,0,0,410,0,4,0,32,140,0,863,1,22,14,2,4,17,1,103,0,10,282,0,455,6,50,1,0,19,0,0,11,19,44,55,123,2188,4,9,0,8,0,0,5,1,3,8,0,1,0,0,0
rovnix,0,0,0,0,0,0,0,0,0,4,0,443,65,120,373,0,0,0,14,0,0,0,0,31,5,18,0,0,0,0,0,0,0,0,0,0,3590,0,0,0,12,0,236,1,0,0,0,0,0,3,0
shiotob,198,0,209,9,384,1,0,48,0,204,94,0,0,0,0,8,2,1,0,0,0,0,1,0,15,9,5,7,19,90,2303,0,0,33,1,0,0,1158,0,2,6,16,3,2,49,5,0,19,12,0,2
simda,334,0,0,0,0,0,1,0,0,0,224,10,0,0,0,7,3,28,0,0,0,0,4,93,0,1,180,172,64,49,0,0,1,1,54,0,0,0,3246,0,0,1,0,0,21,3,6,255,45,0,112
sisron,29,0,2,0,6,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,5,4,0,0,0,0,4832,0,0,0,0,4,4,0,1,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2423,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2096,347,47,0,0,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,0,0,4,0,0,0,0,0,0,0,0,0,0,312,3952,11,1,0,0,0,0,0,0,10
suppobox_3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,85,0,0,0,13,0,4784,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4899,0,0,0,0,0,0,0
tempedreve,774,0,1,0,0,0,14,9,0,80,295,0,0,0,0,47,116,63,0,0,1,0,1,3,5,25,266,44,604,963,27,0,15,26,46,2,0,25,399,25,10,74,2,9,776,17,33,66,40,0,12
tinba,697,0,175,0,0,0,105,212,0,259,326,3,2,0,0,42,52,762,2,0,356,0,124,4,47,12,70,102,56,198,22,1,19,263,385,110,0,18,23,11,3,7,0,9,165,173,17,38,42,0,3
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,6,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,4892,0,0,0,0
vawtrak_v2,29,0,0,0,0,0,0,2,0,0,104,0,3,0,0,0,0,0,10,0,0,0,0,0,2,0,0,39,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,3589,1100,0,31
vawtrak_v3,13,0,0,0,0,0,0,0,0,0,30,0,2,2,0,0,0,0,11,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,2484,0,48
zeus-newgoz,0,0,0,0,42,11,0,0,9,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4811,0
legit,37,0,3,13,0,0,0,3,0,3,27,22,24,40,24,5,2,0,299,0,3,0,0,244,0,31,131,41,5,30,45,0,2,1,0,0,8,27,243,0,36,242,5,2,1,0,6,1159,676,0,1475
