,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
proslikefan,68,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,33,0,0,0,90,0,1,0,0,1,303,14,97,30,5,0,4,2,54,2,0,0,159,0,0,23,0,0,41,1,22,10,12,0,1
pushdo,49,0,7,0,0,0,9,1,0,0,35,0,13,3,0,1,0,3,3,0,5,0,0,0,9,0,0,692,0,0,0,0,1,74,19,2,0,0,0,0,0,0,0,0,0,1,2,6,33,0,15
pykspa,60,0,0,0,0,0,2,0,0,74,24,0,1,0,0,4,24,1,0,0,1,0,1,0,1,2,87,5,158,69,12,6,44,8,24,8,0,7,210,1,0,46,1,3,68,1,0,3,26,0,1
pykspa_noise,64,0,1,0,0,0,0,1,0,67,26,0,0,0,0,1,26,2,0,0,0,0,3,2,0,4,79,4,176,65,6,7,40,9,27,8,0,5,203,4,1,60,1,3,51,0,2,7,27,0,1
qadars,9,0,5,4,64,0,0,1,0,8,0,0,2,0,0,2,3,0,0,0,0,0,0,1,0,1,0,0,4,2,822,0,7,0,3,2,0,10,0,1,0,3,0,0,0,0,29,0,0,0,0
qakbot,34,0,77,0,0,0,3,0,0,99,6,1,1,0,0,13,24,5,0,219,104,0,6,0,5,0,10,3,50,22,2,81,45,13,36,76,1,1,21,1,0,2,0,1,16,0,2,0,1,2,0
ramdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,291,0,388,0,0,0,0,5,0,0,74,0,9,1,0,7,2,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,1,126,0,7,0,2,0,1,0,0,0,0,0,0,0,15,29,0,6
ranbyus_v1,3,0,74,0,0,0,37,1,0,78,0,3,2,0,0,8,6,13,0,0,5,0,56,2,7,0,0,19,1,0,6,3,18,21,286,326,0,1,0,2,0,0,0,2,0,2,1,0,0,0,0
ranbyus_v2,0,0,106,0,0,0,9,0,0,133,0,3,5,1,0,2,0,2,0,0,8,0,30,0,8,0,0,5,0,0,0,0,4,10,23,628,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0
rovnix,0,0,0,0,0,0,0,0,0,1,0,143,6,2,14,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,17,1,0,0,0,0,0,1,0
shiotob,45,0,77,2,104,0,0,0,0,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,6,549,0,0,6,0,0,0,121,0,0,0,3,2,1,2,0,0,1,3,0,0
simda,100,0,0,0,0,0,1,0,0,0,35,5,0,0,0,0,0,2,0,0,0,0,1,4,0,0,5,30,4,0,0,0,0,0,36,0,0,0,712,0,0,0,0,0,2,0,0,13,30,0,3
sisron,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,0,971,0,0,0,0,1,0,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,32,31,0,0,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,745,9,1,0,0,0,0,0,0,1
suppobox_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,967,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0
tempedreve,193,0,0,0,0,0,0,0,0,43,26,0,0,0,0,6,77,4,0,0,0,0,0,0,1,6,35,10,189,94,16,0,13,5,20,2,0,6,105,3,2,9,1,2,93,1,6,3,11,0,1
tinba,189,0,39,0,0,0,45,6,0,69,23,1,0,0,0,5,19,20,0,0,60,0,26,0,9,4,6,12,16,17,8,0,8,98,207,53,0,4,3,4,0,1,0,3,16,0,3,5,2,0,2
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,0,0,0,0
vawtrak_v2,8,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,425,480,0,16
vawtrak_v3,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,807,0,30
zeus-newgoz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0
legit,12,0,2,4,0,0,0,0,0,0,5,8,4,10,2,1,1,0,62,0,1,0,0,48,0,3,35,14,3,0,14,0,1,0,0,0,1,5,62,0,8,52,3,2,0,0,3,12,287,0,318
