,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,702,0,0,0,0,0,0,1,0,0,180,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,59,11,0,1
banjori,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,152,0,95,0,0,0,0,431,0,0,35,0,1,0,1,8,1,0,0,0,0,0,0,0,12,0,0,22,0,0,39,0,0,124,0,0,0,59,0,2,0,0,0,0,0,0,0,1,0,0,0
ccleaner,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,0,1,504,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,0,1,399,0,0,1,0,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
cryptolocker,50,0,13,0,0,0,40,54,0,110,21,3,1,0,0,9,9,113,0,2,202,0,4,0,4,0,8,26,61,46,9,0,32,51,66,14,0,1,6,11,3,0,1,0,10,1,0,0,1,0,1
dircrypt,308,0,37,0,0,0,1,380,0,0,97,0,0,1,1,7,0,0,0,0,0,0,0,0,3,0,0,23,1,0,0,0,2,89,0,1,0,2,0,0,0,0,0,0,0,0,0,26,3,0,1
dyre,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fobber_v1,0,0,0,0,3,0,1,0,0,934,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,4,0,5,0,0,15,0,2,0,9,0,0,3,0,0,0,0,0,0,0,0
fobber_v2,694,0,0,0,0,0,0,0,0,0,200,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,10,0,2
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,865,2,0,7,0,1,0,0,1,0,0,0,35,1,0,1,1,1,1,0,0,0,0,1,0,64,0,1,0,0,0,0,0,0,0,0,1,0,0,0
gozi_luther,1,0,1,0,0,0,0,7,0,0,1,0,779,15,144,0,0,0,5,1,0,0,0,1,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,2
gozi_nasa,1,0,0,0,0,0,0,4,0,0,1,3,203,440,249,0,0,0,48,1,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,1,4,0,6
gozi_rfc4343,0,0,1,0,0,0,0,8,0,0,1,3,207,171,482,2,0,0,57,0,0,0,0,1,12,0,0,3,0,0,0,0,1,2,0,0,14,0,0,0,0,0,1,0,0,0,0,6,4,0,7
kraken_v1,7,0,0,0,0,0,0,2,0,0,2,0,2,0,1,717,155,12,0,0,4,0,0,0,1,0,1,4,38,0,1,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,12,5,0,0
