,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,696,0,3,0,0,0,0,48,0,0,30,0,0,0,0,11,0,0,1,0,0,0,0,0,3,0,0,10,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,2,0,90,19,0,1
banjori,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,29,0,525,0,2,0,0,364,0,4,0,0,8,0,4,2,2,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,5,1,10,0,1,0,3,0,0,0,0,0,5,0,1,1,0,1
ccleaner,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,4,2,705,0,0,3,0,17,0,1,0,0,0,0,0,2,0,0,9,0,0,0,9,0,0,0,0,0,195,1,0,0,1,7,0,12,0,1,0,0,0,0,0,0,0,0,0,14,0
corebot,0,0,0,0,0,951,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
cryptolocker,6,0,83,0,1,0,30,51,0,195,1,8,3,0,0,7,1,89,0,0,179,0,0,1,11,4,0,16,10,1,0,22,21,5,52,149,0,3,2,3,0,2,0,0,4,21,1,0,1,0,0
dircrypt,227,0,276,0,1,0,0,280,0,11,18,0,9,0,5,9,1,0,0,20,2,0,0,0,10,0,0,9,0,0,0,6,0,19,1,19,0,0,0,1,0,0,0,0,0,13,0,37,9,0,0
dyre,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,970,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
